date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2022-09-02,114.862,116.245,114.585,116.127,117700,纺织服饰,113638,台21转债,sh113638
2022-09-05,116.323,118.186,116.24,117.751,196950,纺织服饰,113638,台21转债,sh113638
2022-09-06,118.34,118.8,117.59,118.643,81010,纺织服饰,113638,台21转债,sh113638
2022-09-07,118.7,120.34,118.204,119.744,280890,纺织服饰,113638,台21转债,sh113638
2022-09-08,119.6,120.13,118.13,118.438,110040,纺织服饰,113638,台21转债,sh113638
2022-09-09,118.438,118.438,117.03,117.221,83220,纺织服饰,113638,台21转债,sh113638
2022-09-13,117.221,118.39,116.22,117.795,123480,纺织服饰,113638,台21转债,sh113638
2022-09-14,117.026,117.56,116.344,116.88,30400,纺织服饰,113638,台21转债,sh113638
2022-09-15,117.0,117.378,115.9,116.453,77380,纺织服饰,113638,台21转债,sh113638
2022-09-16,116.616,119.518,114.86,115.052,841430,纺织服饰,113638,台21转债,sh113638
2022-09-19,115.278,119.53,114.685,118.469,1222760,纺织服饰,113638,台21转债,sh113638
2022-09-20,118.7,119.345,117.753,118.898,258440,纺织服饰,113638,台21转债,sh113638
2022-09-21,118.176,119.996,116.84,118.954,266480,纺织服饰,113638,台21转债,sh113638
2022-09-22,118.59,119.319,117.99,118.583,204360,纺织服饰,113638,台21转债,sh113638
2022-09-23,118.403,119.535,116.0,116.08,151580,纺织服饰,113638,台21转债,sh113638
2022-09-26,116.03,116.371,114.977,115.302,125960,纺织服饰,113638,台21转债,sh113638
2022-09-27,115.276,118.085,114.681,117.871,259810,纺织服饰,113638,台21转债,sh113638
2022-09-28,118.1,118.1,115.04,115.815,130670,纺织服饰,113638,台21转债,sh113638
2022-09-29,115.4,116.11,113.231,113.273,111760,纺织服饰,113638,台21转债,sh113638
2022-09-30,113.801,114.391,112.896,113.984,105990,纺织服饰,113638,台21转债,sh113638
2022-10-10,114.1,114.497,113.061,113.366,114740,纺织服饰,113638,台21转债,sh113638
2022-10-11,113.0,114.68,113.0,114.524,56310,纺织服饰,113638,台21转债,sh113638
